Element ID	Element Name	Interest Type	Activity
1.B.1.a	Realistic	General	Build kitchen cabinets.
1.B.1.a	Realistic	General	Drive a truck to deliver packages to offices and homes.
1.B.1.a	Realistic	General	Put out forest fires.
1.B.1.a	Realistic	General	Repair household appliances.
1.B.1.b	Investigative	General	Develop a new medicine.
1.B.1.b	Investigative	General	Develop a way to better predict the weather.
1.B.1.b	Investigative	General	Study ways to reduce water pollution.
1.B.1.b	Investigative	General	Work in a biology lab.
1.B.1.c	Artistic	General	Compose or arrange music.
1.B.1.c	Artistic	General	Create special effects for movies.
1.B.1.c	Artistic	General	Draw pictures.
1.B.1.c	Artistic	General	Write books or plays.
1.B.1.d	Social	General	Give career guidance to people.
1.B.1.d	Social	General	Help people with personal or emotional problems.
1.B.1.d	Social	General	Perform rehabilitation therapy.
1.B.1.d	Social	General	Teach a high school class.
1.B.1.e	Enterprising	General	Manage a department within a large company.
1.B.1.e	Enterprising	General	Market a new line of clothing.
1.B.1.e	Enterprising	General	Represent a client in a lawsuit.
1.B.1.e	Enterprising	General	Start your own business.
1.B.1.f	Conventional	General	Develop a spreadsheet using computer software.
1.B.1.f	Conventional	General	Inventory supplies using a handheld computer.
1.B.1.f	Conventional	General	Keep shipping and receiving records.
1.B.1.f	Conventional	General	Load computer software into a large computer network.
1.B.3.a	Mechanics/Electronics	Basic	Install computer systems.
1.B.3.a	Mechanics/Electronics	Basic	Maintain aircraft engines.
1.B.3.a	Mechanics/Electronics	Basic	Make repairs to industrial robots.
1.B.3.a	Mechanics/Electronics	Basic	Repair motors and generators.
1.B.3.b	Construction/Woodwork	Basic	Build and finish furniture.
1.B.3.b	Construction/Woodwork	Basic	Build and install cabinets.
1.B.3.b	Construction/Woodwork	Basic	Construct wood stairways.
1.B.3.b	Construction/Woodwork	Basic	Operate woodworking machines.
1.B.3.c	Transportation/Machine Operation	Basic	Drive a bus or motor coach.
1.B.3.c	Transportation/Machine Operation	Basic	Operate a bulldozer to move dirt.
1.B.3.c	Transportation/Machine Operation	Basic	Operate a forklift to move boxes.
1.B.3.c	Transportation/Machine Operation	Basic	Transport materials in a truck or van.
1.B.3.d	Physical/Manual Labor	Basic	Clean a work area.
1.B.3.d	Physical/Manual Labor	Basic	Manually move cargo and freight.
1.B.3.d	Physical/Manual Labor	Basic	Perform physical labor at a construction site.
1.B.3.d	Physical/Manual Labor	Basic	Unload, sort, and move materials, equipment, or supplies.
1.B.3.e	Protective Service	Basic	Apprehend and arrest suspects.
1.B.3.e	Protective Service	Basic	Guard inmates in a prison.
1.B.3.e	Protective Service	Basic	Investigate criminal activity.
1.B.3.e	Protective Service	Basic	Maintain order and protect life by enforcing laws.
1.B.3.f	Agriculture	Basic	Develop plans to reduce soil erosion and protect rangelands.
1.B.3.f	Agriculture	Basic	Inspect crops for disease.
1.B.3.f	Agriculture	Basic	Plant, cultivate, and harvest crops.
1.B.3.f	Agriculture	Basic	Raise and tend to farm animals.
1.B.3.g	Nature/Outdoors	Basic	Conserve wildlife habitats.
1.B.3.g	Nature/Outdoors	Basic	Manage public forested lands for recreational purposes.
1.B.3.g	Nature/Outdoors	Basic	Plant a public garden.
1.B.3.g	Nature/Outdoors	Basic	Train conservation workers in planting tree seedlings.
1.B.3.h	Animal Service	Basic	Exercise animals in a shelter.
1.B.3.h	Animal Service	Basic	Provide treatment to sick or injured animals.
1.B.3.h	Animal Service	Basic	Supply animals with food, water, and personal care.
