Element ID	Element Name	Interest Type	O*NET-SOC Code
1.B.1.a	Realistic	General	17-3024.01
1.B.1.a	Realistic	General	45-2091.00
1.B.1.a	Realistic	General	47-2031.00
1.B.1.a	Realistic	General	53-3052.00
1.B.1.b	Investigative	General	19-1029.04
1.B.1.b	Investigative	General	19-1042.00
1.B.1.b	Investigative	General	19-2031.00
1.B.1.b	Investigative	General	19-3041.00
1.B.1.c	Artistic	General	27-1012.00
1.B.1.c	Artistic	General	27-1013.00
1.B.1.c	Artistic	General	27-2011.00
1.B.1.c	Artistic	General	27-2042.00
1.B.1.d	Social	General	21-1012.00
1.B.1.d	Social	General	21-1021.00
1.B.1.d	Social	General	25-2021.00
1.B.1.d	Social	General	29-1141.00
1.B.1.e	Enterprising	General	11-2011.00
1.B.1.e	Enterprising	General	13-1161.01
1.B.1.e	Enterprising	General	23-1011.00
1.B.1.e	Enterprising	General	41-2031.00
1.B.1.f	Conventional	General	13-1041.01
1.B.1.f	Conventional	General	13-2061.00
1.B.1.f	Conventional	General	15-1242.00
1.B.1.f	Conventional	General	43-9061.00
1.B.3.a	Mechanics/Electronics	Basic	17-3024.01
1.B.3.a	Mechanics/Electronics	Basic	49-2092.00
1.B.3.a	Mechanics/Electronics	Basic	49-2094.00
1.B.3.a	Mechanics/Electronics	Basic	49-3011.00
1.B.3.a	Mechanics/Electronics	Basic	49-9081.00
1.B.3.b	Construction/Woodwork	Basic	47-2031.00
1.B.3.b	Construction/Woodwork	Basic	51-7011.00
1.B.3.b	Construction/Woodwork	Basic	51-7021.00
1.B.3.b	Construction/Woodwork	Basic	51-7031.00
1.B.3.b	Construction/Woodwork	Basic	51-7042.00
1.B.3.c	Transportation/Machine Operation	Basic	53-3032.00
1.B.3.c	Transportation/Machine Operation	Basic	53-3052.00
1.B.3.c	Transportation/Machine Operation	Basic	53-3054.00
1.B.3.c	Transportation/Machine Operation	Basic	53-4011.00
1.B.3.c	Transportation/Machine Operation	Basic	53-7051.00
1.B.3.d	Physical/Manual Labor	Basic	45-2041.00
1.B.3.d	Physical/Manual Labor	Basic	47-2061.00
1.B.3.d	Physical/Manual Labor	Basic	47-5081.00
1.B.3.d	Physical/Manual Labor	Basic	53-7062.00
1.B.3.e	Protective Service	Basic	33-3021.00
1.B.3.e	Protective Service	Basic	33-3051.00
1.B.3.e	Protective Service	Basic	33-3051.04
1.B.3.e	Protective Service	Basic	33-9032.00
