O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Date	Domain Source
11-1011.00	1.C.1.a	Achievement/Effort	IM	4.69	28	0.1218	4.4426	4.9426	N	08/2023	Incumbent
11-1011.00	1.C.1.b	Persistence	IM	4.76	28	0.1104	4.5318	4.9847	N	08/2023	Incumbent
11-1011.00	1.C.1.c	Initiative	IM	4.85	28	0.0770	4.6927	5.0000	N	08/2023	Incumbent
11-1011.00	1.C.2.b	Leadership	IM	4.97	28	0.0194	4.9274	5.0000	N	08/2023	Incumbent
11-1011.00	1.C.3.a	Cooperation	IM	4.63	27	0.1880	4.2387	5.0000	N	08/2023	Incumbent
11-1011.00	1.C.3.b	Concern for Others	IM	4.50	28	0.1692	4.1545	4.8486	N	08/2023	Incumbent
11-1011.00	1.C.3.c	Social Orientation	IM	3.95	28	0.2019	3.5339	4.3626	N	08/2023	Incumbent
11-1011.00	1.C.4.a	Self-Control	IM	4.21	28	0.2064	3.7899	4.6368	N	08/2023	Incumbent
11-1011.00	1.C.4.b	Stress Tolerance	IM	4.43	28	0.1500	4.1179	4.7336	N	08/2023	Incumbent
11-1011.00	1.C.4.c	Adaptability/Flexibility	IM	4.35	28	0.1650	4.0130	4.6902	N	08/2023	Incumbent
11-1011.00	1.C.5.a	Dependability	IM	4.57	28	0.1784	4.2069	4.9390	N	08/2023	Incumbent
11-1011.00	1.C.5.b	Attention to Detail	IM	4.44	28	0.1623	4.1103	4.7762	N	08/2023	Incumbent
11-1011.00	1.C.5.c	Integrity	IM	4.69	28	0.2015	4.2758	5.0000	N	08/2023	Incumbent
11-1011.00	1.C.6	Independence	IM	4.13	28	0.1393	3.8392	4.4110	N	08/2023	Incumbent
11-1011.00	1.C.7.a	Innovation	IM	4.05	27	0.1373	3.7667	4.3314	N	08/2023	Incumbent
11-1011.00	1.C.7.b	Analytical Thinking	IM	4.70	27	0.1191	4.4589	4.9487	N	08/2023	Incumbent
11-1011.03	1.C.1.a	Achievement/Effort	IM	4.19	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	1.C.1.b	Persistence	IM	4.63	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	1.C.1.c	Initiative	IM	4.74	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	1.C.2.b	Leadership	IM	4.81	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	1.C.3.a	Cooperation	IM	4.67	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	1.C.3.b	Concern for Others	IM	4.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	1.C.3.c	Social Orientation	IM	3.78	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	1.C.4.a	Self-Control	IM	4.15	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	1.C.4.b	Stress Tolerance	IM	3.96	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	1.C.4.c	Adaptability/Flexibility	IM	4.48	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	1.C.5.a	Dependability	IM	4.19	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	1.C.5.b	Attention to Detail	IM	3.89	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	1.C.5.c	Integrity	IM	4.56	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	1.C.6	Independence	IM	4.26	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	1.C.7.a	Innovation	IM	4.48	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	1.C.7.b	Analytical Thinking	IM	4.52	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1021.00	1.C.1.a	Achievement/Effort	IM	4.29	28	0.1485	3.9821	4.5913	N	08/2023	Incumbent
11-1021.00	1.C.1.b	Persistence	IM	4.17	28	0.1696	3.8250	4.5211	N	08/2023	Incumbent
11-1021.00	1.C.1.c	Initiative	IM	4.47	28	0.1354	4.1953	4.7511	N	08/2023	Incumbent
11-1021.00	1.C.2.b	Leadership	IM	4.60	28	0.1631	4.2655	4.9348	N	08/2023	Incumbent
